Date,Close,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Close_lag_6,Close_lag_7,Close_lag_8,Close_lag_9,Close_lag_10,Close_lag_11,Close_lag_12,Close_lag_13,Close_lag_14,Close_pct_change_1d,model_target
2000-01-24,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,113.5,114.0,116.0,112.06,116.0,0.021008403361344463,119.12
2000-01-25,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,113.5,114.0,116.0,112.06,0.0,116.75
2000-01-26,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,113.5,114.0,116.0,-0.01958847736625513,113.5
2000-01-27,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,113.5,114.0,-0.019895903290799266,111.56
2000-01-28,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,113.5,-0.027837259100642386,112.25
2000-01-31,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,118.0,-0.01709251101321585,110.0
2000-02-01,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,119.0,0.006185012549300817,113.5
2000-02-02,113.5,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,119.5,-0.020044543429844075,117.12
2000-02-03,117.12,113.5,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,118.25,0.031818181818181746,115.62
2000-02-04,115.62,117.12,113.5,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,119.62,0.03189427312775339,114.12
2000-02-07,114.12,115.62,117.12,113.5,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,115.75,-0.012807377049180335,118.81
2000-02-08,118.81,114.12,115.62,117.12,113.5,110.0,112.25,111.56,113.5,116.75,119.12,121.5,121.5,119.0,119.5,-0.012973533990659036,117.37
